facility_name,metric_name,facility_metric_value,time_period,animal_description,other_party,animal_age,animal_type,year,year_part,animal_description_match
"2 Blondes All Breed Rescue, Inc.","1/1/2023
 Adult Dogs
 In Shelter",32,1/1/2023, Adult Dogs, In Shelter,Adult,Dogs,2023,beginning,adult dogs
4 Paws 4 Life Rescue,"1/1/2023
 Adult Dogs
 In Shelter",0,1/1/2023, Adult Dogs, In Shelter,Adult,Dogs,2023,beginning,adult dogs
5280 Reptile Room North,"1/1/2023
 Adult Dogs
 In Shelter",0,1/1/2023, Adult Dogs, In Shelter,Adult,Dogs,2023,beginning,adult dogs
5280 Reptile Room west,"1/1/2023
 Adult Dogs
 In Shelter",0,1/1/2023, Adult Dogs, In Shelter,Adult,Dogs,2023,beginning,adult dogs
7 Paws Rescue Ranch,"1/1/2023
 Adult Dogs
 In Shelter",2,1/1/2023, Adult Dogs, In Shelter,Adult,Dogs,2023,beginning,adult dogs
9 LIVES RESCUE,"1/1/2023
 Adult Dogs
 In Shelter",0,1/1/2023, Adult Dogs, In Shelter,Adult,Dogs,2023,beginning,adult dogs
A cat rescue out in the sticks,"1/1/2023
 Adult Dogs
 In Shelter",0,1/1/2023, Adult Dogs, In Shelter,Adult,Dogs,2023,beginning,adult dogs
A Friend of Jack Rescue,"1/1/2023
 Adult Dogs
 In Shelter",0,1/1/2023, Adult Dogs, In Shelter,Adult,Dogs,2023,beginning,adult dogs
Above and Beyond English Setter Rescue,"1/1/2023
 Adult Dogs
 In Shelter",0,1/1/2023, Adult Dogs, In Shelter,Adult,Dogs,2023,beginning,adult dogs
Adoptable Animal Rescue Force,"1/1/2023
 Adult Dogs
 In Shelter",3,1/1/2023, Adult Dogs, In Shelter,Adult,Dogs,2023,beginning,adult dogs
Agents of Chaos TNR,"1/1/2023
 Adult Dogs
 In Shelter",0,1/1/2023, Adult Dogs, In Shelter,Adult,Dogs,2023,beginning,adult dogs
Airedale Terrier Rescue and Adoption (ATRA),"1/1/2023
 Adult Dogs
 In Shelter",0,1/1/2023, Adult Dogs, In Shelter,Adult,Dogs,2023,beginning,adult dogs
All Aboard Animal Rescue,"1/1/2023
 Adult Dogs
 In Shelter",0,1/1/2023, Adult Dogs, In Shelter,Adult,Dogs,2023,beginning,adult dogs
all mixed up dog rescue,"1/1/2023
 Adult Dogs
 In Shelter",0,1/1/2023, Adult Dogs, In Shelter,Adult,Dogs,2023,beginning,adult dogs
All Points West German Shorthaired Pointer Rescue,"1/1/2023
 Adult Dogs
 In Shelter",0,1/1/2023, Adult Dogs, In Shelter,Adult,Dogs,2023,beginning,adult dogs
Almost Home Adoptions,"1/1/2023
 Adult Dogs
 In Shelter",0,1/1/2023, Adult Dogs, In Shelter,Adult,Dogs,2023,beginning,adult dogs
Amigos de los Animales Colorado,"1/1/2023
 Adult Dogs
 In Shelter",0,1/1/2023, Adult Dogs, In Shelter,Adult,Dogs,2023,beginning,adult dogs
Angels with Paws,"1/1/2023
 Adult Dogs
 In Shelter",0,1/1/2023, Adult Dogs, In Shelter,Adult,Dogs,2023,beginning,adult dogs
Angels with Paws,"1/1/2023
 Adult Dogs
 In Shelter",0,1/1/2023, Adult Dogs, In Shelter,Adult,Dogs,2023,beginning,adult dogs
Animal Aid of Colorado,"1/1/2023
 Adult Dogs
 In Shelter",4,1/1/2023, Adult Dogs, In Shelter,Adult,Dogs,2023,beginning,adult dogs
Animal Attraction,"1/1/2023
 Adult Dogs
 In Shelter",0,1/1/2023, Adult Dogs, In Shelter,Adult,Dogs,2023,beginning,adult dogs
Animal Friends Alliance,"1/1/2023
 Adult Dogs
 In Shelter",21,1/1/2023, Adult Dogs, In Shelter,Adult,Dogs,2023,beginning,adult dogs
Animal Kingdom,"1/1/2023
 Adult Dogs
 In Shelter",0,1/1/2023, Adult Dogs, In Shelter,Adult,Dogs,2023,beginning,adult dogs
Animal Rescue of the Rockies,"1/1/2023
 Adult Dogs
 In Shelter",0,1/1/2023, Adult Dogs, In Shelter,Adult,Dogs,2023,beginning,adult dogs
Animal Rescue of the Rockies Cat Casita,"1/1/2023
 Adult Dogs
 In Shelter",0,1/1/2023, Adult Dogs, In Shelter,Adult,Dogs,2023,beginning,adult dogs
Animal Rescue of the Rockies Just Cats Cat Cottage,"1/1/2023
 Adult Dogs
 In Shelter",0,1/1/2023, Adult Dogs, In Shelter,Adult,Dogs,2023,beginning,adult dogs
Animal Welfare & Protection Society,"1/1/2023
 Adult Dogs
 In Shelter",33,1/1/2023, Adult Dogs, In Shelter,Adult,Dogs,2023,beginning,adult dogs
Annies Orphans,"1/1/2023
 Adult Dogs
 In Shelter",53,1/1/2023, Adult Dogs, In Shelter,Adult,Dogs,2023,beginning,adult dogs
Archway Adventures,"1/1/2023
 Adult Dogs
 In Shelter",0,1/1/2023, Adult Dogs, In Shelter,Adult,Dogs,2023,beginning,adult dogs
Ark-Valley Humane Society,"1/1/2023
 Adult Dogs
 In Shelter",9,1/1/2023, Adult Dogs, In Shelter,Adult,Dogs,2023,beginning,adult dogs
Ark-Valley Humane Society,"1/1/2023
 Adult Dogs
 In Shelter",0,1/1/2023, Adult Dogs, In Shelter,Adult,Dogs,2023,beginning,adult dogs
Aspen/Pitkin County Animal Shelter,"1/1/2023
 Adult Dogs
 In Shelter",19,1/1/2023, Adult Dogs, In Shelter,Adult,Dogs,2023,beginning,adult dogs
Australian Shepherds Furever,"1/1/2023
 Adult Dogs
 In Shelter",0,1/1/2023, Adult Dogs, In Shelter,Adult,Dogs,2023,beginning,adult dogs
Avalon Aviary Bird Store,"1/1/2023
 Adult Dogs
 In Shelter",0,1/1/2023, Adult Dogs, In Shelter,Adult,Dogs,2023,beginning,adult dogs
Bear Creek Animal Hospital,"1/1/2023
 Adult Dogs
 In Shelter",1,1/1/2023, Adult Dogs, In Shelter,Adult,Dogs,2023,beginning,adult dogs
Beasties a pet store & more,"1/1/2023
 Adult Dogs
 In Shelter",0,1/1/2023, Adult Dogs, In Shelter,Adult,Dogs,2023,beginning,adult dogs
Bernese Mountain Dog Club os the Rockies,"1/1/2023
 Adult Dogs
 In Shelter",0,1/1/2023, Adult Dogs, In Shelter,Adult,Dogs,2023,beginning,adult dogs
Big Bones Canine Rescue,"1/1/2023
 Adult Dogs
 In Shelter",31,1/1/2023, Adult Dogs, In Shelter,Adult,Dogs,2023,beginning,adult dogs
"Big Dogs Huge Paws, Inc","1/1/2023
 Adult Dogs
 In Shelter",0,1/1/2023, Adult Dogs, In Shelter,Adult,Dogs,2023,beginning,adult dogs
Black Ops Rescue,"1/1/2023
 Adult Dogs
 In Shelter",0,1/1/2023, Adult Dogs, In Shelter,Adult,Dogs,2023,beginning,adult dogs
Blackhat Humane Society,"1/1/2023
 Adult Dogs
 In Shelter",0,1/1/2023, Adult Dogs, In Shelter,Adult,Dogs,2023,beginning,adult dogs
Blue Lion Rescue,"1/1/2023
 Adult Dogs
 In Shelter",74,1/1/2023, Adult Dogs, In Shelter,Adult,Dogs,2023,beginning,adult dogs
Bounce Animal Rescue,"1/1/2023
 Adult Dogs
 In Shelter",0,1/1/2023, Adult Dogs, In Shelter,Adult,Dogs,2023,beginning,adult dogs
Breeder Release Adoption Service,"1/1/2023
 Adult Dogs
 In Shelter",49,1/1/2023, Adult Dogs, In Shelter,Adult,Dogs,2023,beginning,adult dogs
Brighter Days Dog Rescue,"1/1/2023
 Adult Dogs
 In Shelter",0,1/1/2023, Adult Dogs, In Shelter,Adult,Dogs,2023,beginning,adult dogs
Canine Partners of the Rockies,"1/1/2023
 Adult Dogs
 In Shelter",0,1/1/2023, Adult Dogs, In Shelter,Adult,Dogs,2023,beginning,adult dogs
Cat Care Durango,"1/1/2023
 Adult Dogs
 In Shelter",0,1/1/2023, Adult Dogs, In Shelter,Adult,Dogs,2023,beginning,adult dogs
Cat Care Society,"1/1/2023
 Adult Dogs
 In Shelter",0,1/1/2023, Adult Dogs, In Shelter,Adult,Dogs,2023,beginning,adult dogs
cats alive slv,"1/1/2023
 Adult Dogs
 In Shelter",0,1/1/2023, Adult Dogs, In Shelter,Adult,Dogs,2023,beginning,adult dogs
Cats League & Assistance of the Western Slope,"1/1/2023
 Adult Dogs
 In Shelter",0,1/1/2023, Adult Dogs, In Shelter,Adult,Dogs,2023,beginning,adult dogs
Cats League and Assistance of the Western Slope Adoption Center,"1/1/2023
 Adult Dogs
 In Shelter",0,1/1/2023, Adult Dogs, In Shelter,Adult,Dogs,2023,beginning,adult dogs
"Cavalier King Charles Spaniel Club Rescue, Inc.","1/1/2023
 Adult Dogs
 In Shelter",0,1/1/2023, Adult Dogs, In Shelter,Adult,Dogs,2023,beginning,adult dogs
Cavy Care Inc.,"1/1/2023
 Adult Dogs
 In Shelter",0,1/1/2023, Adult Dogs, In Shelter,Adult,Dogs,2023,beginning,adult dogs
"Chihuahua & Small Dog Rescue, Inc.","1/1/2023
 Adult Dogs
 In Shelter",0,1/1/2023, Adult Dogs, In Shelter,Adult,Dogs,2023,beginning,adult dogs
Chow Down - Evergreen,"1/1/2023
 Adult Dogs
 In Shelter",0,1/1/2023, Adult Dogs, In Shelter,Adult,Dogs,2023,beginning,adult dogs
Circle 2 Rescue,"1/1/2023
 Adult Dogs
 In Shelter",0,1/1/2023, Adult Dogs, In Shelter,Adult,Dogs,2023,beginning,adult dogs
City of Aurora Animal Services,"1/1/2023
 Adult Dogs
 In Shelter",28,1/1/2023, Adult Dogs, In Shelter,Adult,Dogs,2023,beginning,adult dogs
City of Brush Animal Shelter,"1/1/2023
 Adult Dogs
 In Shelter",0,1/1/2023, Adult Dogs, In Shelter,Adult,Dogs,2023,beginning,adult dogs
City of Burlington Animal Shelter,"1/1/2023
 Adult Dogs
 In Shelter",0,1/1/2023, Adult Dogs, In Shelter,Adult,Dogs,2023,beginning,adult dogs
City of Cortez Animal Shelter,"1/1/2023
 Adult Dogs
 In Shelter",8,1/1/2023, Adult Dogs, In Shelter,Adult,Dogs,2023,beginning,adult dogs
City Of Cripple Creek Animal Shelter,"1/1/2023
 Adult Dogs
 In Shelter",39,1/1/2023, Adult Dogs, In Shelter,Adult,Dogs,2023,beginning,adult dogs
City of La Junta Animal Shelter,"1/1/2023
 Adult Dogs
 In Shelter",5,1/1/2023, Adult Dogs, In Shelter,Adult,Dogs,2023,beginning,adult dogs
City of Lamar Animal Shelter,"1/1/2023
 Adult Dogs
 In Shelter",7,1/1/2023, Adult Dogs, In Shelter,Adult,Dogs,2023,beginning,adult dogs
City of Las Animas / Bent County Shelter,"1/1/2023
 Adult Dogs
 In Shelter",0,1/1/2023, Adult Dogs, In Shelter,Adult,Dogs,2023,beginning,adult dogs
City of Rocky Ford Animal Shelter,"1/1/2023
 Adult Dogs
 In Shelter",0,1/1/2023, Adult Dogs, In Shelter,Adult,Dogs,2023,beginning,adult dogs
City of Wray Animal Shelter,"1/1/2023
 Adult Dogs
 In Shelter",0,1/1/2023, Adult Dogs, In Shelter,Adult,Dogs,2023,beginning,adult dogs
CITY OF YUMA ANIMAL SHELTER,"1/1/2023
 Adult Dogs
 In Shelter",0,1/1/2023, Adult Dogs, In Shelter,Adult,Dogs,2023,beginning,adult dogs
CLAWA Animal Rescue,"1/1/2023
 Adult Dogs
 In Shelter",0,1/1/2023, Adult Dogs, In Shelter,Adult,Dogs,2023,beginning,adult dogs
Colorado Animal Care Foundation,"1/1/2023
 Adult Dogs
 In Shelter",0,1/1/2023, Adult Dogs, In Shelter,Adult,Dogs,2023,beginning,adult dogs
Colorado Animal Rescue,"1/1/2023
 Adult Dogs
 In Shelter",12,1/1/2023, Adult Dogs, In Shelter,Adult,Dogs,2023,beginning,adult dogs
Colorado Animal Welfare League,"1/1/2023
 Adult Dogs
 In Shelter",0,1/1/2023, Adult Dogs, In Shelter,Adult,Dogs,2023,beginning,adult dogs
Colorado Basenji Rescue,"1/1/2023
 Adult Dogs
 In Shelter",0,1/1/2023, Adult Dogs, In Shelter,Adult,Dogs,2023,beginning,adult dogs
Colorado Beagle Rescue,"1/1/2023
 Adult Dogs
 In Shelter",0,1/1/2023, Adult Dogs, In Shelter,Adult,Dogs,2023,beginning,adult dogs
Colorado Bullies & More,"1/1/2023
 Adult Dogs
 In Shelter",27,1/1/2023, Adult Dogs, In Shelter,Adult,Dogs,2023,beginning,adult dogs
Colorado Corgis and Friends,"1/1/2023
 Adult Dogs
 In Shelter",0,1/1/2023, Adult Dogs, In Shelter,Adult,Dogs,2023,beginning,adult dogs
Colorado Feline Foster Rescue,"1/1/2023
 Adult Dogs
 In Shelter",0,1/1/2023, Adult Dogs, In Shelter,Adult,Dogs,2023,beginning,adult dogs
Colorado Greyhound Adoption,"1/1/2023
 Adult Dogs
 In Shelter",0,1/1/2023, Adult Dogs, In Shelter,Adult,Dogs,2023,beginning,adult dogs
Colorado Herding Dog Rescue,"1/1/2023
 Adult Dogs
 In Shelter",0,1/1/2023, Adult Dogs, In Shelter,Adult,Dogs,2023,beginning,adult dogs
Colorado Japanese Chin Rescue,"1/1/2023
 Adult Dogs
 In Shelter",0,1/1/2023, Adult Dogs, In Shelter,Adult,Dogs,2023,beginning,adult dogs
Colorado Kitty Coalition,"1/1/2023
 Adult Dogs
 In Shelter",0,1/1/2023, Adult Dogs, In Shelter,Adult,Dogs,2023,beginning,adult dogs
Colorado Pug Rescue,"1/1/2023
 Adult Dogs
 In Shelter",0,1/1/2023, Adult Dogs, In Shelter,Adult,Dogs,2023,beginning,adult dogs
Colorado Puppy Rescue of Colorado,"1/1/2023
 Adult Dogs
 In Shelter",0,1/1/2023, Adult Dogs, In Shelter,Adult,Dogs,2023,beginning,adult dogs
Colorado Reptile Humane Society,"1/1/2023
 Adult Dogs
 In Shelter",0,1/1/2023, Adult Dogs, In Shelter,Adult,Dogs,2023,beginning,adult dogs
