facility_name,metric_name,facility_metric_value,time_period,animal_description,other_party,animal_age,animal_type,year,year_part
"2 Blondes All Breed Rescue, Inc.","1/1/2023
 Adult Dogs
 In Shelter",32,1/1/2023, Adult Dogs, In Shelter,Adult,Dogs,2023,beginning
4 Paws 4 Life Rescue,"1/1/2023
 Adult Dogs
 In Shelter",0,1/1/2023, Adult Dogs, In Shelter,Adult,Dogs,2023,beginning
5280 Reptile Room North,"1/1/2023
 Adult Dogs
 In Shelter",0,1/1/2023, Adult Dogs, In Shelter,Adult,Dogs,2023,beginning
5280 Reptile Room west,"1/1/2023
 Adult Dogs
 In Shelter",0,1/1/2023, Adult Dogs, In Shelter,Adult,Dogs,2023,beginning
7 Paws Rescue Ranch,"1/1/2023
 Adult Dogs
 In Shelter",2,1/1/2023, Adult Dogs, In Shelter,Adult,Dogs,2023,beginning
9 LIVES RESCUE,"1/1/2023
 Adult Dogs
 In Shelter",0,1/1/2023, Adult Dogs, In Shelter,Adult,Dogs,2023,beginning
A cat rescue out in the sticks,"1/1/2023
 Adult Dogs
 In Shelter",0,1/1/2023, Adult Dogs, In Shelter,Adult,Dogs,2023,beginning
A Friend of Jack Rescue,"1/1/2023
 Adult Dogs
 In Shelter",0,1/1/2023, Adult Dogs, In Shelter,Adult,Dogs,2023,beginning
Above and Beyond English Setter Rescue,"1/1/2023
 Adult Dogs
 In Shelter",0,1/1/2023, Adult Dogs, In Shelter,Adult,Dogs,2023,beginning
Adoptable Animal Rescue Force,"1/1/2023
 Adult Dogs
 In Shelter",3,1/1/2023, Adult Dogs, In Shelter,Adult,Dogs,2023,beginning
Agents of Chaos TNR,"1/1/2023
 Adult Dogs
 In Shelter",0,1/1/2023, Adult Dogs, In Shelter,Adult,Dogs,2023,beginning
Airedale Terrier Rescue and Adoption (ATRA),"1/1/2023
 Adult Dogs
 In Shelter",0,1/1/2023, Adult Dogs, In Shelter,Adult,Dogs,2023,beginning
All Aboard Animal Rescue,"1/1/2023
 Adult Dogs
 In Shelter",0,1/1/2023, Adult Dogs, In Shelter,Adult,Dogs,2023,beginning
all mixed up dog rescue,"1/1/2023
 Adult Dogs
 In Shelter",0,1/1/2023, Adult Dogs, In Shelter,Adult,Dogs,2023,beginning
All Points West German Shorthaired Pointer Rescue,"1/1/2023
 Adult Dogs
 In Shelter",0,1/1/2023, Adult Dogs, In Shelter,Adult,Dogs,2023,beginning
Almost Home Adoptions,"1/1/2023
 Adult Dogs
 In Shelter",0,1/1/2023, Adult Dogs, In Shelter,Adult,Dogs,2023,beginning
Amigos de los Animales Colorado,"1/1/2023
 Adult Dogs
 In Shelter",0,1/1/2023, Adult Dogs, In Shelter,Adult,Dogs,2023,beginning
Angels with Paws,"1/1/2023
 Adult Dogs
 In Shelter",0,1/1/2023, Adult Dogs, In Shelter,Adult,Dogs,2023,beginning
Angels with Paws,"1/1/2023
 Adult Dogs
 In Shelter",0,1/1/2023, Adult Dogs, In Shelter,Adult,Dogs,2023,beginning
Animal Aid of Colorado,"1/1/2023
 Adult Dogs
 In Shelter",4,1/1/2023, Adult Dogs, In Shelter,Adult,Dogs,2023,beginning
Animal Attraction,"1/1/2023
 Adult Dogs
 In Shelter",0,1/1/2023, Adult Dogs, In Shelter,Adult,Dogs,2023,beginning
Animal Friends Alliance,"1/1/2023
 Adult Dogs
 In Shelter",21,1/1/2023, Adult Dogs, In Shelter,Adult,Dogs,2023,beginning
Animal Kingdom,"1/1/2023
 Adult Dogs
 In Shelter",0,1/1/2023, Adult Dogs, In Shelter,Adult,Dogs,2023,beginning
