Unnamed: 0,Account Name,DBA,City,State,County,Business License App Category Name,Expire Date,Latitude,Longitude,Zip Code,Year,name,synonyms,street_address,city,state,zip,long,lat
0.0,5280 Ragdolls LLC,,Brighton,CO,ADAMS,Cat Breeder,3/2/2026,39.9852617,-104.8205283,,2024.0,,,,,,,,
1.0,5280 Reptile Room LLC,5280 Reptile Room (North),Northglenn,CO,ADAMS,Retail / Wholesale of Pet Animals,3/2/2026,39.91331960000001,-104.9762129,80233.0,2024.0,,,,,,,,
2.0,5280 Reptile Room LLC,5280 Reptile Room (North),Northglenn,CO,ADAMS,Reptile / Amphibian Breeder,3/2/2026,39.91331960000001,-104.9762129,80233.0,2024.0,,,,,,,,
3.0,5280 Reptile Room LLC,5280 Reptile Room (North),Northglenn,CO,ADAMS,Small Animal Breeder,3/2/2026,39.91331960000001,-104.9762129,80233.0,2024.0,,,,,,,,
4.0,5280 Reptile Room LLC,5280 Reptile Room (North),Northglenn,CO,ADAMS,Pet Animal Small Shelter,3/2/2026,39.91331960000001,-104.9762129,80233.0,2024.0,,,,,,,,
5.0,5th Avenue Pets Inc,Pet Ranch,Denver,CO,ADAMS,Retail / Wholesale of Pet Animals,3/2/2026,39.7243638,-104.9310826,,2024.0,,,,,,,,
6.0,5th Avenue Pets Inc,Pet Ranch,Denver,CO,ADAMS,Small Animal Breeder,3/2/2026,39.7243638,-104.9310826,,2024.0,,,,,,,,
7.0,Adams County Animal Shelter / Adoption Center,Riverdale Animal Shelter,Brighton,CO,ADAMS,Pet Animal Large Shelter,3/2/2026,39.9852617,-104.8205283,,2024.0,,,,,,,,
8.0,Agents of Chaos TNR,Agents of Chaos TNR,Northglenn,CO,ADAMS,Pet Animal Small Rescue,3/2/2026,39.8961821,-104.9811468,,2024.0,,,,,,,,
9.0,Alexis Oldham,,Brighton,CO,ADAMS,Independent Contractor (IC) Pet Groomer,3/2/2026,39.9852617,-104.8205283,,2024.0,,,,,,,,
10.0,All Points West German Shorthaired Pointer Rescue,,Northglenn,CO,ADAMS,Pet Animal Small Rescue,3/2/2026,39.8961821,-104.9811468,,2024.0,,,,,,,,
11.0,Allbrick Veterinary Clinic,Allbrick Veterinary Clinic,Denver,CO,ADAMS,Pet Boarding and/or Training,3/2/2026,39.85436,-105.0149737,80260.0,2024.0,,,,,,,,
12.0,Allbrick Veterinary Clinic,Allbrick Veterinary Clinic,Denver,CO,ADAMS,Pet Grooming Facility - Primary Facility Owner,3/2/2026,39.85436,-105.0149737,80260.0,2024.0,,,,,,,,
13.0,"American Canine Academy, LLC",,Henderson,CO,ADAMS,Pet Boarding and/or Training,3/2/2026,39.9202178,-104.8660597,,2024.0,,,,,,,,
14.0,"American Canine Academy, LLC",,Henderson,CO,ADAMS,Pet Grooming Facility - Primary Facility Owner,3/2/2026,39.9202178,-104.8660597,,2024.0,,,,,,,,
15.0,Autowash Larkridge Operating Company,Autowash@Larkridge,Thornton,CO,ADAMS,Pet Grooming Facility - Self Wash Facility,3/2/2026,39.99166659999999,-104.9813177,80023.0,2024.0,,,,,,,,
16.0,Baphomatic Grooming Ltd,,Northglenn,CO,ADAMS,Pet Grooming Facility - Primary Facility Owner,3/2/2026,39.8994163,-104.990445,80234.0,2024.0,,,,,,,,
17.0,Baphomatic Grooming Ltd,,Northglenn,CO,ADAMS,Pet Grooming Facility - Mobile Groomer,3/2/2026,39.8994163,-104.990445,80234.0,2024.0,,,,,,,,
